NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,0,0,1,3000000,0.302669,0.000000,0.958773,2.876318,2.876318
2,0,0,1,3000000,0.312955,0.000000,0.958773,2.876318,4.616806
3,0,0,1,3000000,0.347673,0.000000,0.958773,2.876318,3.002750
4,0,0,1,3000000,0.369993,0.000000,1.198466,2.876318,4.613827
5,0,0,2,3000000,0.571267,0.000000,1.917546,4.793864,5.992330
6,0,0,2,3000000,0.742277,0.000000,2.396932,8.509108,9.587728
7,0,0,4,3000000,0.907762,0.000000,2.876318,4.793864,5.752637
8,0,0,4,3000000,0.832607,0.000000,2.876318,4.793864,7.716952
9,0,0,8,3000000,0.897991,0.000000,2.876318,4.793864,4.793864
10,0,0,8,3000000,0.876087,0.000000,3.835091,4.793864,5.992330
13,0,0,12,3000000,0.933968,0.000000,3.835091,4.793864,5.273250
14,0,0,12,3000000,0.877321,0.000000,2.876318,4.793864,8.890438
16,1,0,1,3000000,5.047016,7.190796,10.786194,13.183126,13.183126
17,1,0,1,3000000,5.121159,7.190796,10.786194,13.183126,14.381592
19,1,0,2,3000000,12.122697,8.628955,39.309684,60.402685,64.237776
20,1,0,2,3000000,11.394733,8.788750,32.598274,65.196548,71.907958
21,1,0,4,3000000,25.324665,12.783637,61.361457,73.106424,75.503356
22,1,0,4,3000000,20.953973,11.505273,57.526366,80.297220,81.495686
23,1,0,8,3000000,27.659806,23.969319,59.443912,80.297220,82.694151
24,1,0,8,3000000,31.206838,28.763183,65.196548,75.503356,80.297220
25,1,0,12,3000000,29.359535,27.804410,60.402685,79.098754,82.694151
26,1,0,12,3000000,30.504986,27.564717,64.237776,75.503356,81.495686
27,2,0,1,3000000,3.005238,0.958773,7.989773,11.505273,13.183126
28,2,0,1,3000000,0.369605,0.000000,0.958773,2.876318,4.284237
29,2,0,1,3000000,0.420377,0.000000,1.198466,3.835091,4.587608
30,2,0,2,3000000,0.652412,0.000000,1.917546,3.926512,4.793864
31,2,0,2,3000000,0.879263,0.000000,2.876318,4.793864,8.807331
32,2,0,4,3000000,0.944443,0.000000,2.876318,6.232023,7.350591
33,2,0,4,3000000,0.962262,0.000000,2.876318,6.731809,8.902890
34,2,0,8,3000000,0.980727,0.798977,2.876318,8.218052,8.669754
35,2,0,8,3000000,0.869031,0.000000,2.876318,4.793864,10.910173
37,2,0,12,3000000,1.305482,0.958773,4.669348,4.882639,11.625120
38,2,0,12,3000000,1.234941,0.958773,4.486565,4.793864,8.695846
